Player,Team,Nation,Position,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Sander Berge,Fulham,no NOR,MF,26.0,N/a,26,2224.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24.7,0.0,3.0,1.0,33.3,0.12,0.04,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,3.0,21.0,32.0,N/a,N/a,0.0
Sandro Tonali,Newcastle United,it ITA,MF,24.0,36.0,28,2630.0,29.2,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,0.14,0.07,0.21,0.14,0.21,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29.2,4.0,35.0,12.0,34.3,1.2,0.41,0.11,0.33,0.0,0.0,0.0,37.0,49.0,2.0,54.0,32.0,32.0,N/a,N/a,0.0
Santiago Bueno,Wolverhampton Wanderers,uy URU,DF,25.0,29.0,18,1687.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,18.7,0.0,6.0,3.0,50.0,0.32,0.16,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,0.0,13.0,20.0,N/a,N/a,0.0
Saša Lukić,Fulham,rs SRB,MF,27.0,N/a,28,2344.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.08,0.08,0.0,0.08,30.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,26.0,0.0,18.0,3.0,16.7,0.69,0.12,0.0,0.0,0.0,0.0,0.0,66.0,26.0,0.0,63.0,26.0,38.0,N/a,N/a,0.0
Sepp van den Berg,Brentford,nl NED,DF,22.0,31.0,29,2586.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28.7,0.0,20.0,6.0,30.0,0.7,0.21,0.0,0.0,0.0,0.0,0.0,23.0,5.0,1.0,7.0,22.0,24.0,N/a,N/a,0.0
Simon Adingra,Brighton & Hove Albion,ci CIV,MF,22.0,29.0,12,1097.0,12.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.16,0.16,0.33,0.16,0.33,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12.2,2.0,33.0,8.0,24.2,2.71,0.66,0.06,0.25,0.0,0.0,0.0,13.0,4.0,4.0,42.0,9.0,16.0,N/a,N/a,0.0
Stefan Ortega,Manchester City,de GER,GK,31.0,13.0,12,1100.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,1.47,49.0,33.0,67.3,5.0,4.0,3.0,3.0,25.0,2.0,2.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
Stephy Mavididi,Leicester City,eng ENG,MF,26.0,N/a,16,1615.0,17.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,0.22,0.06,0.28,0.22,0.28,30.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17.9,4.0,26.0,7.0,26.9,1.45,0.39,0.15,0.57,0.0,0.0,0.0,18.0,18.0,3.0,70.0,8.0,20.0,N/a,N/a,0.0
Sávio,Manchester City,br BRA,"MF,FW",20.0,29.0,21,1766.0,19.6,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,0.05,0.41,0.46,0.05,0.46,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19.6,1.0,55.0,21.0,38.2,2.8,1.07,0.02,0.05,0.0,0.0,0.0,17.0,28.0,3.0,84.0,4.0,17.0,N/a,N/a,0.0
Taylor Harwood-Bellis,Southampton,eng ENG,DF,22.0,N/a,32,2825.0,31.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.03,0.0,0.03,0.03,0.03,34.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,31.4,1.0,20.0,8.0,40.0,0.64,0.25,0.05,0.13,0.0,0.0,0.0,35.0,14.0,0.0,10.0,29.0,22.0,N/a,N/a,0.0
