Player,Age,Team,Estimated Value
Mathias Jensen,30,Brentford FC,€12.5M
Tim Iroegbunam,22,Everton FC,€12.5M
Zeki Amdouni,25,Burnley FC,€12.2M
Lucas Digne,32,Aston Villa,€12.2M
Hee-chan Hwang,30,Wolverhampton Wanderers,€12.1M
Harry Maguire,32,Manchester United,€12M
Ilia Gruev,25,Leeds United,€11.8M
Justin Devenny,22,Crystal Palace,€11.5M
Caleb Wiley,21,Chelsea,€11.4M
Lyle Foster,25,Burnley FC,€11.3M
Zian Flemming,27,Burnley FC,€10.9M
Ryan Christie,31,Bournemouth,€10.9M
James Tarkowski,33,Everton FC,€10.3M
Daichi Kamada,29,Crystal Palace,€10.3M
Adam Armstrong,29,Wolverhampton Wanderers,€10.1M
Romaine Mundle,22,Sunderland AFC,€9.9M
Alysson,19,Aston Villa,€9.8M
Enes Ünal,28,Bournemouth,€9.8M
Bernd Leno,34,Fulham FC,€9.8M
Altay Bayındır,27,Manchester United,€9.7M
Julio Soler,21,Bournemouth,€9.6M
Romelle Donovan,19,Brentford FC,€9.6M
Jonah Kusi-Asare,18,Fulham FC,€9.4M
Christian Nørgaard,31,Arsenal FC,€9.4M
Trey Nyoni,18,Liverpool FC,€9.1M
Christos Mandas,24,Bournemouth,€8.8M
Will Hughes,30,Crystal Palace,€8.7M
Dennis Cirkin,23,Sunderland AFC,€8.7M
Virgil van Dijk,34,Liverpool FC,€8.6M
John Victor ,30,Nottingham Forest,€8.4M
Alex Tóth,20,Bournemouth,€8.3M
James Hill,24,Bournemouth,€8.1M
Chido Obi,18,Manchester United,€8M
James Ward-Prowse,31,Burnley FC,€7.8M
Lucas Pires,24,Burnley FC,€7.8M
Pedro Lima,19,Wolverhampton Wanderers,€7.6M
Dan Burn,33,Newcastle United,€7.5M
Max Weiß,21,Burnley FC,€7.5M
Alphonse Areola,33,West Ham United,€7.4M
Nick Pope,33,Newcastle United,€7.3M
Freddie Potts,22,West Ham United,€7.3M
Wataru Endo,33,Liverpool FC,€7.1M
Josh Cullen,29,Burnley FC,€7.1M
Jorge Cuenca,26,Fulham FC,€7.1M
Lukas Nmecha,27,Leeds United,€7.1M
Jacob Bruun Larsen,27,Burnley FC,€7.1M
Rodrigo Muniz,24,Fulham FC,€7M
Kepa Arrizabalaga,31,Arsenal FC,€7M
Jefferson Lerma,31,Crystal Palace,€6.8M
Andrés García,23,Aston Villa,€6.6M
Sebastiaan Bornauw,26,Leeds United,€6.5M
Callum Wilson,34,West Ham United,€6.3M
Tyrell Malacia,26,Manchester United,€6.3M
David Møller Wolfe,23,Wolverhampton Wanderers,€6.3M
Matz Sels,34,Nottingham Forest,€6.1M
